,Sentiment,Message
0,1,"according to gran , the company has no plans to move all production to russia , although that is where the company is growing ."
1,1,"technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said ."
2,2,"the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily postimees reported ."
3,0,with the new production plant the company would increase its capacity to meet the epected increase in demand and would improve the use of raw materials and therefore increase the production profitability .
4,0,"according to the company 's updated strategy for the years 2009-2012 , basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales ."
5,0,financing of aspocomp 's growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs .
6,0,"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-ta profit from a pre-ta loss of eur7m ."
7,0,"in the third quarter of 2010 , net sales increased by 5.2 % to eur 205.5 mn , and operating profit by 34.9 % to eur 23.5 mn ."
8,0,operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .
9,0,"operating profit totalled eur 21.1 mn , up from eur 18.6 mn in 2007 , representing 9.7 % of net sales ."
10,0,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom 's offering to its customers .
11,0,"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston ( cfsb ) raised the fair value for shares in four of the largest nordic forestry groups ."
12,0,"a purchase agreement for 7,200 tons of gasoline with delivery at the hamina terminal , finland , was signed with neste oil oyj at the average platts inde for this september plus eight us dollars per month ."
13,0,"finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sales totaled eur 103.3 mn , up from eur 96.4 mn ."
14,0,"clothing retail chain sepp+æl+æ 's sales increased by 8 % to eur 155.2 mn , and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 ."
15,0,"consolidated net sales increased 16 % to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period ."
16,0,"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 ."
17,0,"helsinki ( af ) - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts ' epectations , dealers said ."
18,0,"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , plans to double its revenues by 2007-2008 ."
19,0,"its board of directors will propose a dividend of eur0 .12 per share for 2010 , up from the eur0 .08 per share paid in 2009 ."
20,0,"lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s ."
21,0,"( filippova ) a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum , days of the russian economy , that opened in helsinki today ."
22,0,"megafon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of december 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to teliasonera estimates ."
23,0,"net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn , and net income from non-life insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 ."
24,0,net sales increased to eur193 .3 m from eur179 .9 m and preta profit rose by 34.2 % to eur43 .1 m. ( eur1 = usd1 .4 )
25,0,"net sales surged by 18.5 % to eur167 .8 m. teleste said that eur20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 ."
26,0,nordea group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .
27,0,"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 ."
28,0,"operating profit for the nine-month period increased from eur3 .1 m and net sales increased from eur61 .5 m , as compared to the corresponding period in 2007 ."
29,0,"operating profit for the three-month period increased from eur1 .2 m , while revenue increased from eur20 .2 m , as compared to the corresponding period in 2005 ."
30,0,"the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brand+_o , as saying ."
31,0,"the company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier ."
32,0,"the lithuanian beer market made up 14.41 million liters in january , a rise of 0.8 percent from the year-earlier figure , the lithuanian brewers ' association reporting citing the results from its members ."
33,0,"viking line 's cargo revenue increased by 5.4 % to eur 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units ."
34,0,"the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million ."
35,0,10 february 2011 - finnish media company sanoma oyj hel : saa1v said yesterday its 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .
36,0,"a helsinki : eliiv today reported eps of eur1 .13 for 2009 , an increase over eps of eur1 .12 in 2008 ."
37,0,"aspo plc stock echange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part of aspo group , has signed a new , long-term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea ."
38,0,"commission income increased by 22 % to eur 4.4 mn , and lending volume rose by 13.5 % ."
39,0,"in january , traffic , measured in revenue passenger kilometres rpk , went up by 3.2 % and capacity , measured in available seat kilometres ask , rose by 12.2 % ."
40,0,"in january-september 2010 , fiskars ' net profit went up by 14 % year-on-year to eur 65.4 million and net sales to eur 525.3 million from eur 487.7 million ."
41,0,"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 ."
42,0,"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate ."
43,0,"sales for both the department store division and hobby hall increased by 7 % , while sales for the clothing store subsidiary seppala decreased by 4 % ."
44,0,sales have risen in other eport markets .
45,0,sales increased due to growing market rates and increased operations .
46,0,the agreement strengthens our long-term partnership with nokia siemens networks .
47,0,"the agreement was signed with biohit healthcare ltd , the uk-based subsidiary of biohit oyj , a finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems ."
48,0,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .
49,0,"the company 's order book stood at 1.5 bln euro $ 2.2 bln on september 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln ."
50,0,"the company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year ."
51,0,"the world 's second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million us$ 781 million , or euro3 .33 us$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year ."
52,0,"within the framework of the partnership , nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary , jsc mikron , which is the largest manufacturer and eporter of microelectronic components in russia ."
53,0,"seppala 's revenue increased by 0.2 % to eur10 .1 m. in finland , revenue went down by 2.4 % to eur6 .8 m , while sales abroad rose by 6.2 % to eur3 .3 m. sales increased in all the baltic countries as well as in russia and ukraine ."
54,0,"shares of standard chartered ( stan ) rose 1.2 % in the ftse 100 , while royal bank of scotland ( rbs ) shares rose 2 % and barclays shares ( barc ) ( bcs ) were up 1.7 % ."
55,0,shares of nokia corp. rose thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
56,0,"in its financial report , published on friday , seb said its net profit soared to sek6 .745 bn in 2010 from a year-earlier sek1 .114 bn and proposed a 50 % dividend increase to sek1 .50 per share ."
57,0,sales for the department store division increased by 15 % and sales for the clothing store subsidiary seppala increased by 8 % meanwhile sales for hobby hall decreased by 12 % .
58,1,"at the request of finnish media company alma media 's newspapers , research manager jari kaivo-oja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland 's national economy by using a model developed by the university of denver ."
59,1,"in sweden , galleri accumulated sek denominated sales were down 1 % and eur denominated sales were up 11 % ."
60,1,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .
61,1,"when this investment is in place , atria plans to epand into the moscow market ."
62,1,"`` the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group , whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita - ja pohjois suomo , and signed asimilar agreement , '' said tatu hauhio , managing director ofcramo finland ."
63,0,"at first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) ."
64,1,"in june it sold a 30 percent stake to nordstjernan , and the investment group has now taken up the option to acquire eqt 's remaining shares ."
65,0,"kesko corporation stock echange release 28.02.2008 at 09.30 1 ( 1 ) kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko-telko ltd , a subsidiary wholly owned by kesko ."
66,0,sponda plc stock echange release 5 december 2006 at 15.45 eur 1.5 billion syndicated credit facility for sponda sponda has signed an agreement for a one-year syndicated credit facility for a total of eur 1.5 billion .
67,1,stock echange announcement 20 july 2006 1 ( 1 ) basware share subscriptions with warrants and increase in share capital a total of 119 850 shares have been subscribed with basware warrant program .
68,0,"the contract covers hdo platform , ac800 and ce880 optical fttb nodes designed to increase the forward and return path capacity of the transmission networks ."
69,1,the new plant is planned to have an electricity generation capacity of up to 350 megawatts ( mw ) and the same heat generation capacity .
70,0,"the om helsinki 25 inde was up 0.92 pct at 2,518.67 and the helsinki cap portfolio inde was 0.91 pct higher at 4,711.19 ."
71,1,"- so , the sales growth of cars considerably influence on the tires market '' ."
72,1,"a maimum of 666,104 new shares can further be subscribed for by eercising b options under the 2004 stock option plan ."
73,1,"as a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of eur 15,665.20 ."
74,1,"finnish real estate investor sponda plc said on wednesday 12 march that it has signed agreements with danske bank a-s , helsinki branch for a 7-year eur150m credit facility and with ilmarinen mutual pension insurance company for a 7-year eur50m credit facility ."
75,1,"on the route between helsinki in finland and tallinn in estonia , cargo volumes increased by 36 % , while cargo volumes between finland and sweden fell by 9 % ."
76,1,"other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments , divestments and redelivery of ecess tonnage ."
77,0,"rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of kauno alus grew by 14.3 percent , to 960,000 liters ."
78,1,telecomworldwire-7 april 2006-tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj .
79,0,telecomworldwire-7 april 2006-tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj .
80,1,"the 718,430 new series a shares will become subject to trading on the helsinki stock echange 's main list , together with the old series a shares , on july 3 , 2006 ."
81,1,the fuel purchase contracts have been signed with three months ' delivery from this september to november .
82,1,tiimari operates 194 stores in si countries -- including its core finnish market -- and generated a turnover of 76.5 mln eur in 2005 .
83,0,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .
84,0,"the combination of all services enabling us to offer a comple and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean , africa and north america `` says uwe bakosch ."
85,1,no blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .
86,0,"the company still epects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' ."
87,0,the acquisition will considerably increase kemira 's sales and market position in the russian metal industry coatings market .
88,0,"in january-september 2007 , finnlines ' net sales rose to eur 505.4 mn from eur 473.5 mn in the corresponding period in 2006 ."
89,0,"adjusted for changes in the group structure , the division 's net sales increased by 1.7 % ."
90,0,"`` the change will optimize the operational efficiencies of our growing business , '' said julia prohaska , director of marketing communications for fiskars ."
91,0,"`` they would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said sunrise valley director andrius bagdonas ."
92,0,"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt1v saw its net profit jump to eur2 .1 m for the last quarter of 2010 from eur995 ,000 for the same period of 2009 ."
93,0,finnish aktia group 's operating profit rose to eur 17.5 mn in the first quarter of 2010 from eur 8.2 mn in the first quarter of 2009 .
94,0,finnish bank of +_land 's consolidated net operating profit increased from eur 4.8 mn in the first quarter of 2005 to eur 6.4 mn in the first quarter of 2006 .
95,0,"finnish financial group aktia reports operating profit of eur 44.4 mn in january-september 2009 , up from eur 37.3 mn in the corresponding period in 2008 ."
96,0,"finnish high technology provider vaahto group reports net sales of eur 41.8 mn in the accounting period september 2007 - february 2008 , an increase of 11.2 % from a year earlier ."
97,0,net sales of finnish food industry company l+ænnen tehtaat 's continuing operations increased by 13 % in 2008 to eur 349.1 mn from eur 309.6 mn in 2007 .
98,0,an individual promotion also generated slightly higher-than-epected revenues .
99,0,biohit already services many current genesis customers and the customer base is epected to epand as a result of this agreement .
100,0,"both operating profit and turnover for the three-month period increased , respectively from eur0 .9 m and eur8 .3 m , as compared to the corresponding period in 2005 ."
101,0,circulation revenue has increased by 5 % in finland and 4 % in sweden in 2008 .
102,0,clothing chain sepp+æl+æ 's net sales increased by 7.0 % to eur 30.8 mn .
103,0,construction volumes meanwhile grow at a rate of 10-15 percent annually .
104,0,finnish and swedish construction markets are still eperiencing an estimated 4 % annual growth in 2008 .
105,0,"however , biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 ."
106,0,"in 2009 , fiskars ' cash flow from operating activities amounted to eur121m , up from eur97m in the previous year ."
107,0,"in lithuania , operating profit rose to eur 190,000 from eur 70,000 in the corresponding period in 2005 ."
108,0,"in the fourth quarter of 2008 , net sales increased by 2 % to eur 1,050.7 mn from eur 1,027.0 mn in the fourth quarter of 2007 ."
109,0,"international sales rose by 59.8 % to eur 1,244.4 mn ."
110,1,kalmar espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .
111,0,net sales grew in the period to  20ac 402 million $ 585us million from  20ac 401 million in 2006 .
112,0,net sales increased to eur655m in april to june 2010 from eur438m a year earlier .
113,0,"net sales rose by 25.5 % year-on-year to eur59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces ."
114,0,"net sales totaled eur 93.6 mn , up from eur 93.2 mn in the corresponding period in 2005 ."
115,0,"nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter ."
116,0,operating profit increased by 145.1 % to eur 8.3 mn from eur 3.4 mn .
117,0,operating profit margin increased from 11.2 % to 11.7 % .
118,0,operating profit rose to eur 3.11 mn from eur 1.22 mn in the corresponding period in 2009 .
119,0,operating profit rose to eur 5mn from eur 2.8 mn in the fourth quarter of 2008 .
120,0,"operating profit was eur 24.5 mn , up from eur 23.0 mn ."
121,0,"ramirent 's net sales in the second quarterended june 30 were euro 128.7 million about u.s. $ 163 million , a 3.3-percent increase compared with euro 124.6 million for thesecond quarter last year ."
122,0,"revenue grew by 2 percent to  20ac 580 million $ 743 million , from  20ac 569 million ."
123,0,ruukki announced that it has signed an agreement with aker solutions of norway to supply 24 suction anchors in september 2010 from its kalajoki unit in finland .
124,0,"ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to eur647m , ceo sakari tamminen said ."
125,0,sanoma magazines ' net sales are estimated to grow in 2006 .
126,0,the bank forecasts finland 's gdp will grow by 2 % in 2010 and in 2011 .
127,0,"the circuit 's overall production rate on a weekly basis is now in ecess of an average of 40,000 tonnes per day , with volumes in ecess of 50,000 tonnes per day being reached on individual days ."
128,0,"the company 's consolidated operating profit amounted to eur 15.86 mn , up from eur 4.14 mn year-on-year ."
129,0,the department store division reported an increase in sales of 4 per cent .
